time,lon,lat,id,year,logger,time_diff_sec,Nest_Distance,Trip_ID
2025-05-14 04:40:00,141.47106,40.58889,62206,2025,VHF,300,9213.828215235153,3
2025-05-14 04:45:00,141.47941,40.58716,62206,2025,VHF,300,8539.431528893036,3
2025-05-14 04:50:00,141.49528,40.569140000000004,62206,2025,VHF,300,6273.892156239594,3
2025-05-14 04:55:00,141.50872,40.56007,62206,2025,VHF,300,4777.65869361729,3
2025-05-14 05:00:00,141.54279,40.54996,62206,2025,VHF,300,1778.824890995853,3
2025-05-14 09:40:00,141.50627,40.54287,62206,2025,VHF,300,4374.457676534695,4
2025-05-14 09:45:00,141.50499,40.542410000000004,62206,2025,VHF,300,4477.180612273914,4
2025-05-14 09:50:00,141.50701,40.54263,62206,2025,VHF,300,4309.3038846461795,4
2025-05-14 09:55:00,141.50794000000002,40.54318,62206,2025,VHF,300,4237.818120343092,4
2025-05-14 10:00:00,141.50795,40.54323,62206,2025,VHF,300,4237.644661538478,4
2025-05-14 10:05:00,141.50793000000002,40.54321,62206,2025,VHF,300,4239.058716100214,4
2025-05-14 10:10:00,141.50791,40.54322,62206,2025,VHF,300,4240.874378941687,4
2025-05-14 10:15:00,141.50791,40.54318,62206,2025,VHF,300,4240.34130060815,4
2025-05-14 10:20:00,141.50794000000002,40.54321,62206,2025,VHF,300,4238.217738104564,4
2025-05-14 10:25:00,141.51284,40.55234,62206,2025,VHF,300,4087.0996385121316,4
2025-05-14 10:30:00,141.51591,40.5599,62206,2025,VHF,300,4250.144277919192,4
2025-05-14 10:35:00,141.51486999999997,40.570190000000004,62206,2025,VHF,300,5039.958644631474,4
2025-05-14 10:40:00,141.51537,40.5569,62206,2025,VHF,300,4114.000694910615,4
2025-05-14 10:45:00,141.52381,40.556619999999995,62206,2025,VHF,300,3492.2075039016268,4
2025-05-14 10:50:00,141.5231,40.557289999999995,62206,2025,VHF,300,3584.2090305990373,4
2025-05-14 10:55:00,141.52384,40.556619999999995,62206,2025,VHF,300,3490.1247748227574,4
2025-05-14 11:00:00,141.52383,40.55663,62206,2025,VHF,300,3491.4552182646476,4
2025-05-14 11:05:00,141.52381,40.55665,62206,2025,VHF,300,3494.1162595654505,4
2025-05-14 11:10:00,141.52355999999997,40.55693,62206,2025,VHF,300,3529.3155295898523,4
2025-05-14 11:15:00,141.5238,40.55665,62206,2025,VHF,300,3494.810257917234,4
2025-05-14 11:20:00,141.52382,40.556689999999996,62206,2025,VHF,300,3495.971158871884,4
